yrmth,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,mean_sunshine_hrs,mean_temp,mean_rh,wbt_mean,wbt_max,asian_civilisations_museum,national_museum_of_singapore,singapore_art_museum,singapore_philatelic_museum,peranakan_museum,science_centre_singapore,jurong_birdpark,night_safari,river_wonders,zoo,chinese/japanese_garden,sun_yat_sen_nanyang_memorial_hall,indian_heritage_centre,malay_heritage_centre,year,month
1990-12-01,33.5,16.0,201.1,5.5,26.3,86.0,24.5,26.8,,28.1,,,,35.7,,,,153.8,20.4,,,,1990,12
1991-01-01,36.2,13.0,123.9,5.6,26.7,84.1,24.6,26.4,,19.1,,,,20.2,,,,62.6,13.3,,,,1991,1
1991-02-01,17.9,7.0,45.5,7.0,27.1,81.6,24.6,26.9,,18.4,,,,28.8,,,,93.3,33.3,,,,1991,2
1991-03-01,48.6,10.0,92.4,7.1,27.8,79.9,25.0,27.2,,27.4,,,,61.5,,,,95.5,14.9,,,,1991,3
1991-04-01,32.2,13.0,134.2,5.8,27.7,84.3,25.6,27.7,,21.7,,,,37.1,,,,81.5,14.8,,,,1991,4
1991-05-01,44.0,23.0,256.4,5.1,27.7,86.6,25.9,28.0,,16.3,,,,68.4,,,,95.1,12.9,,,,1991,5
1991-06-01,55.6,9.0,88.7,7.1,28.6,81.0,26.0,28.1,,20.5,,,,44.8,,,,116.0,16.4,,,,1991,6
1991-07-01,10.7,8.0,37.3,6.7,28.5,78.7,25.5,27.5,,17.1,,,,37.8,,,,73.8,31.5,,,,1991,7
1991-08-01,129.9,8.0,226.2,5.3,28.2,79.8,25.4,27.5,,20.8,,,,32.5,,,,99.6,19.5,,,,1991,8
1991-09-01,53.6,12.0,123.1,4.1,27.5,83.0,25.3,27.2,,19.2,,,,41.0,,,,110.7,164.8,,,,1991,9
1991-10-01,20.4,5.0,52.0,4.2,27.5,81.4,25.0,27.4,,20.0,,,,41.2,,,,69.8,15.1,,,,1991,10
1991-11-01,75.2,19.0,205.0,3.5,26.3,86.5,24.5,26.6,,34.2,,,,90.1,,,,148.6,34.3,,,,1991,11
1991-12-01,79.4,19.0,492.3,3.0,25.6,90.7,24.4,26.7,,21.0,,,,39.7,,,,118.0,24.7,,,,1991,12
1992-01-01,56.2,9.0,83.9,6.6,26.6,82.4,24.3,26.6,,15.5,,,,20.6,,,,69.5,10.7,,,,1992,1
1992-02-01,43.2,4.0,62.4,7.7,27.5,80.5,24.8,26.7,,23.9,,,,31.8,,,,122.6,24.8,,,,1992,2
1992-03-01,35.1,6.0,67.6,7.4,28.2,80.6,25.5,27.6,,24.8,,,,40.4,,,,98.0,17.1,,,,1992,3
1992-04-01,94.7,13.0,160.3,6.4,28.4,82.4,26.0,28.0,,21.9,,,,37.1,,,,98.9,18.9,,,,1992,4
1992-05-01,13.7,13.0,63.1,5.7,28.1,83.3,25.9,27.9,,29.8,,,,62.4,,,,113.1,17.6,,,,1992,5
1992-06-01,38.4,14.0,162.8,5.5,28.0,82.7,25.7,28.0,,19.5,,,,51.4,,,,144.6,26.0,,,,1992,6
1992-07-01,97.3,19.0,290.8,4.7,27.3,83.8,25.2,27.2,,17.6,,,,40.0,,,,112.3,19.0,,,,1992,7
1992-08-01,31.0,11.0,76.1,5.7,27.8,81.1,25.2,27.2,,21.6,,,,44.2,,,,130.2,21.0,,,,1992,8
1992-09-01,17.5,13.0,83.6,5.0,27.3,82.9,25.0,27.2,,19.3,,,,34.2,,,,112.1,117.3,,,,1992,9
1992-10-01,45.5,20.0,233.2,4.5,27.4,82.0,25.0,27.2,,12.3,,,,35.6,,,,109.6,18.5,,,,1992,10
1992-11-01,120.6,18.0,474.3,3.7,26.1,87.7,24.5,26.8,,21.7,,,,76.4,,,,140.6,32.1,,,,1992,11
1992-12-01,105.7,23.0,502.7,3.4,25.5,90.3,24.3,26.5,,9.9,,,,40.9,,,,103.8,27.9,,,,1992,12
1993-01-01,37.2,11.0,176.4,5.5,26.2,85.7,24.3,27.1,,15.2,,,,25.3,,,,124.2,31.6,,,,1993,1
1993-02-01,27.0,8.0,69.2,8.5,26.7,80.5,24.1,26.2,,18.9,,,,28.3,,,,71.3,13.4,,,,1993,2
1993-03-01,56.9,14.0,250.5,5.4,26.7,86.3,24.9,27.5,,26.7,,,,50.5,,,,109.9,16.6,,,,1993,3
1993-04-01,56.7,20.0,283.9,6.4,27.6,84.5,25.5,28.0,,21.4,,,,38.7,,,,102.0,11.8,,,,1993,4
1993-05-01,37.2,10.0,129.9,6.0,28.2,82.9,25.9,27.8,,22.1,,,,64.4,,,,135.4,11.2,,,,1993,5
1993-06-01,29.4,17.0,115.5,6.2,28.5,80.9,25.8,28.2,,27.7,,,,55.8,,,,181.3,23.0,,,,1993,6
1993-07-01,46.4,15.0,240.0,5.2,27.9,83.2,25.6,27.7,,27.1,,,,41.9,,,,112.2,13.0,,,,1993,7
1993-08-01,53.5,11.0,106.8,7.4,28.6,79.4,25.7,28.0,,16.3,,,,37.6,,,,146.1,17.2,,,,1993,8
1993-09-01,42.0,7.0,61.7,5.9,27.9,81.4,25.3,27.9,,14.0,,,,33.9,,,,116.0,82.6,,,,1993,9
1993-10-01,62.7,13.0,175.5,5.2,27.5,84.3,25.4,27.5,,17.8,,,,31.6,,,,103.6,33.5,,,,1993,10
1993-11-01,61.3,18.0,250.8,4.7,26.9,87.4,25.2,27.3,,23.0,,,,87.9,,,,157.5,17.2,,,,1993,11
1993-12-01,67.6,19.0,308.5,4.2,26.5,87.4,24.9,27.7,,13.0,,,,38.0,,,,127.0,15.6,,,,1993,12
1994-01-01,17.5,7.0,56.9,6.1,26.9,82.1,24.5,26.7,,11.6,,,,16.4,,,,83.8,12.2,,,,1994,1
1994-02-01,26.3,15.0,133.5,6.4,27.0,84.5,25.0,27.4,,18.3,,,,22.4,,,,108.2,18.2,,,,1994,2
1994-03-01,64.2,19.0,288.2,3.5,26.8,87.1,25.1,27.3,,26.4,,,,49.4,,,,124.6,15.6,,,,1994,3
1994-04-01,46.3,15.0,154.0,5.8,27.9,84.8,25.8,28.3,,20.6,,,,31.0,,,,117.6,11.0,,,,1994,4
1994-05-01,45.1,16.0,169.6,5.0,28.1,84.8,26.0,28.2,,16.2,,,,48.5,,,,159.5,12.0,,,,1994,5
1994-06-01,61.1,14.0,184.7,6.0,28.1,83.5,25.8,28.2,,14.2,,,,39.9,,,,130.5,14.9,,,,1994,6
1994-07-01,17.0,6.0,53.8,7.6,28.4,78.9,25.5,27.4,,25.6,,,,40.9,,,,113.2,12.2,,,,1994,7
1994-08-01,15.5,12.0,45.1,6.5,28.1,80.0,25.4,27.5,,24.9,,,,50.6,,,,123.2,15.0,,,,1994,8
1994-09-01,11.3,6.0,23.7,3.8,28.3,78.7,25.4,27.5,,27.2,,,,36.8,,,,103.1,137.8,,,,1994,9
1994-10-01,35.4,11.0,84.7,4.5,27.9,81.5,25.3,26.9,,29.4,,,,32.5,,,,86.6,10.7,,,,1994,10
1994-11-01,178.3,21.0,322.2,4.5,26.7,88.4,25.2,27.9,,39.4,,,,102.7,,,,138.9,13.7,,,,1994,11
1994-12-01,133.8,18.0,425.4,5.3,26.9,85.5,24.9,27.2,,19.3,,,,58.4,,,,144.4,12.8,,,,1994,12
1995-01-01,108.3,21.0,349.4,5.0,26.8,86.2,25.0,27.0,,12.7,,,,32.1,,,,92.7,8.8,,,,1995,1
1995-02-01,159.3,16.0,334.0,4.9,26.5,87.5,24.8,26.9,,10.9,,,,50.7,,,,86.2,10.2,,,,1995,2
1995-03-01,31.1,10.0,67.7,5.9,27.6,83.9,25.4,28.0,,14.4,,,,31.5,,,,128.2,12.4,,,,1995,3
1995-04-01,73.6,16.0,242.3,5.6,27.9,85.3,25.9,28.1,,14.0,,,,27.9,,,,97.8,9.2,,,,1995,4
1995-05-01,32.8,11.0,84.4,6.0,28.5,83.7,26.3,28.5,,14.9,,,,48.9,,,,148.4,9.9,,,,1995,5
1995-06-01,45.0,12.0,63.7,6.6,28.9,81.9,26.3,28.4,,18.9,,,,36.0,,,,132.3,9.3,,,,1995,6
1995-07-01,52.3,13.0,173.6,5.2,28.0,82.6,25.7,27.7,,20.1,,,,30.1,,,,117.8,19.3,,,,1995,7
1995-08-01,37.9,21.0,211.6,4.1,27.4,85.6,25.5,27.4,,29.0,,,,37.4,,,,137.4,11.0,,,,1995,8
1995-09-01,5.7,7.0,29.5,5.8,28.3,81.6,25.8,28.1,,23.7,,,,28.8,,,,127.1,115.4,,,,1995,9
1995-10-01,37.1,12.0,101.1,4.7,27.8,82.8,25.5,27.8,,32.8,,,,39.4,,,,106.0,8.7,,,,1995,10
1995-11-01,198.6,20.0,372.8,3.7,27.0,86.8,25.2,27.6,,55.5,,,,122.5,,,,136.1,9.8,,,,1995,11
1995-12-01,55.6,20.0,302.5,3.1,26.3,86.6,24.5,27.0,,46.1,,,,57.6,,,,128.5,19.0,,,,1995,12
1996-01-01,39.0,10.0,173.2,5.2,26.2,84.2,24.1,27.0,,24.1,5.4,,,36.0,,,,76.0,12.3,,,,1996,1
1996-02-01,53.0,11.0,180.2,5.8,26.5,84.6,24.4,26.7,,30.2,7.4,,,31.3,,,,121.8,15.8,,,,1996,2
1996-03-01,61.8,8.0,129.7,7.7,27.8,81.0,25.1,27.5,,22.0,9.0,,,36.9,,,,113.3,9.0,,,,1996,3
1996-04-01,55.7,15.0,178.2,5.4,27.8,85.5,25.8,28.4,,15.4,6.0,,,23.9,,,,109.1,8.3,,,,1996,4
1996-05-01,18.6,15.0,107.5,7.0,28.5,83.7,26.3,28.4,,21.2,8.1,,,51.8,,,,145.7,25.8,,,,1996,5
1996-06-01,94.3,15.0,265.8,5.9,28.3,84.3,26.1,28.2,,18.0,7.6,,,34.6,,,,161.4,29.4,,,,1996,6
1996-07-01,55.3,10.0,162.3,6.7,28.3,81.9,25.9,27.9,,12.7,8.4,,,33.5,,,,116.1,7.8,,,,1996,7
1996-08-01,64.6,18.0,258.4,5.0,27.4,83.4,25.2,27.5,,17.5,10.0,,,42.4,,,,118.3,7.6,,,,1996,8
1996-09-01,66.5,18.0,297.0,4.8,27.7,82.2,25.3,28.0,,13.9,4.9,,,25.6,,,,104.7,104.9,,,,1996,9
1996-10-01,45.8,19.0,300.0,4.3,27.5,83.0,25.2,27.2,,22.7,11.8,,,36.3,,,,92.0,6.6,,,,1996,10
1996-11-01,60.5,16.0,180.2,4.4,27.3,83.5,25.1,27.5,,36.0,12.0,,,41.3,,,,185.2,8.8,,,,1996,11
1996-12-01,72.4,15.0,185.5,4.5,26.6,82.9,24.3,27.2,,18.1,14.2,,,34.3,,,,165.4,15.3,,,,1996,12
1997-01-01,13.9,3.0,15.4,7.7,27.1,77.3,24.0,26.4,,17.1,17.5,,,15.3,,,,84.1,8.3,,,,1997,1
1997-02-01,35.7,8.0,105.4,4.9,27.4,80.8,24.8,26.8,,18.2,12.8,,,24.1,,,,130.4,32.7,,,,1997,2
1997-03-01,17.4,10.0,34.3,7.0,28.1,79.6,25.2,27.2,,25.4,7.9,,,159.6,,,,140.6,11.1,,,,1997,3
1997-04-01,44.6,12.0,118.4,5.6,28.1,82.7,25.7,27.9,3.6,23.4,7.5,,,39.8,,,,98.6,8.4,,,,1997,4
1997-05-01,35.6,6.0,41.6,6.7,29.3,77.7,26.2,28.0,9.2,22.3,11.7,,,63.0,,,,142.5,9.9,,,,1997,5
1997-06-01,25.0,12.0,78.9,7.3,29.3,76.7,26.0,27.9,9.1,23.8,9.6,,,43.1,,,,150.2,8.5,,,,1997,6
1997-07-01,5.4,9.0,18.6,6.5,28.8,76.5,25.5,27.4,3.1,20.9,14.7,,,31.1,,,,121.9,9.6,,,,1997,7
1997-08-01,61.4,9.0,86.6,5.7,28.8,78.2,25.7,27.6,6.7,32.1,17.9,,,30.6,,,,120.0,10.1,,,,1997,8
1997-09-01,24.3,3.0,31.1,3.2,28.8,77.0,25.6,27.1,4.1,17.6,7.0,,,40.2,,,,86.5,123.8,,,,1997,9
1997-10-01,36.5,8.0,78.4,3.2,28.2,81.0,25.6,27.4,4.5,20.4,19.7,,,40.4,,,,78.6,7.7,,,,1997,10
1997-11-01,53.6,13.0,158.3,5.4,27.8,82.8,25.4,27.4,5.4,27.7,17.9,,,117.7,,,,125.6,8.8,,,,1997,11
1997-12-01,65.8,23.0,351.9,5.3,27.3,85.3,25.4,27.7,2.1,13.7,15.4,,,32.6,,,,131.6,8.7,,,,1997,12
1998-01-01,79.7,13.0,268.8,7.4,28.0,83.2,25.7,28.0,4.2,14.5,26.4,,,22.3,,,,95.5,14.2,,,,1998,1
1998-02-01,11.9,5.0,32.5,8.9,28.9,78.3,25.9,28.2,4.0,16.5,9.7,,,34.8,,,,79.1,8.8,,,,1998,2
1998-03-01,20.9,7.0,58.8,7.6,29.5,77.8,26.3,28.4,5.6,20.0,6.7,,,40.8,,,,106.3,7.8,,,,1998,3
1998-04-01,64.9,13.0,187.7,6.7,29.2,81.8,26.7,28.8,10.0,21.8,7.6,,,43.6,,,,103.6,7.3,,,,1998,4
1998-05-01,83.7,18.0,370.8,5.9,29.4,82.3,26.9,29.3,19.3,31.5,16.6,,,65.3,,,,127.7,7.7,,,,1998,5
1998-06-01,42.8,15.0,198.8,5.3,28.6,82.1,26.1,28.6,4.2,18.5,12.5,,,46.9,,,,145.9,6.4,,,,1998,6
1998-07-01,55.8,18.0,259.2,5.1,28.1,81.8,25.6,28.2,5.8,19.4,15.1,,,32.2,,,,98.9,6.3,,,,1998,7
1998-08-01,35.5,18.0,195.0,4.6,27.5,85.4,25.5,27.4,9.9,22.3,23.4,,,27.8,,,,109.2,7.8,,,,1998,8
1998-09-01,52.0,17.0,258.2,4.5,27.9,84.1,25.8,28.0,5.4,17.7,12.8,,,35.6,,,,105.8,51.0,,,,1998,9
1998-10-01,32.4,20.0,222.7,5.0,28.0,82.3,25.6,28.0,8.0,22.5,39.9,,,41.4,,,,100.5,84.6,,,,1998,10
1998-11-01,57.5,11.0,107.2,4.6,27.9,81.9,25.4,27.8,6.1,23.9,7.8,,,42.4,,,,120.5,6.9,,,,1998,11
1998-12-01,84.4,22.0,463.4,3.1,26.6,88.5,25.1,27.7,3.2,13.8,5.0,,,36.3,,,,126.4,7.8,,,,1998,12
1999-01-01,52.5,19.0,193.9,3.9,26.6,88.3,25.1,27.4,4.4,17.9,7.4,2.5,,15.8,,,,100.7,7.9,,,,1999,1
1999-02-01,32.1,9.0,67.4,6.7,27.2,82.4,24.9,27.4,17.7,17.4,5.3,2.8,,25.2,,,,106.6,13.2,,,,1999,2
1999-03-01,52.4,16.0,181.4,4.3,27.1,87.5,25.5,28.0,30.1,21.1,7.6,4.8,,95.8,,,,112.6,8.1,,,,1999,3
1999-04-01,29.2,14.0,88.5,5.8,28.3,82.6,25.9,28.3,25.9,21.3,29.6,2.9,,31.6,,,,91.4,6.4,,,,1999,4
1999-05-01,42.8,13.0,157.1,5.7,28.0,84.4,25.9,28.0,33.9,36.6,37.1,3.5,,52.1,,,,136.6,6.8,,,,1999,5
1999-06-01,34.5,13.0,103.4,6.0,28.2,81.9,25.7,27.9,2.2,29.0,6.0,2.9,,36.5,,,,135.0,6.9,,,,1999,6
1999-07-01,51.4,11.0,225.4,6.8,27.8,82.7,25.4,27.5,3.8,31.6,10.0,4.8,,32.6,,,,110.4,6.8,,,,1999,7
1999-08-01,42.4,13.0,204.0,5.7,27.5,84.1,25.4,27.2,6.2,29.5,26.0,4.6,,30.6,,,,117.0,8.4,,,,1999,8
1999-09-01,41.5,13.0,125.9,6.5,27.9,81.7,25.4,27.5,4.5,23.4,8.3,4.0,,32.7,,,,105.8,122.7,,,,1999,9
1999-10-01,32.8,20.0,205.0,4.7,27.2,84.6,25.1,27.5,4.5,33.9,10.1,4.3,,55.8,,,,89.1,6.8,,,,1999,10
1999-11-01,39.0,19.0,241.5,4.7,27.3,84.4,25.1,27.2,5.0,46.1,11.3,4.1,,60.8,,,,125.8,7.5,,,,1999,11
1999-12-01,76.9,17.0,340.5,4.1,26.8,85.3,24.8,27.4,3.3,27.3,22.1,2.2,,40.7,,,,155.3,8.4,,,,1999,12
2000-01-01,127.6,14.0,275.2,4.0,26.3,86.9,24.6,26.6,3.3,17.3,13.3,3.1,,17.9,,,,78.0,8.1,,,,2000,1
2000-02-01,39.9,18.0,237.8,5.8,26.6,86.5,24.8,27.7,4.4,18.9,10.5,2.5,,26.0,,,,113.8,36.5,,,,2000,2
2000-03-01,37.9,15.0,238.3,5.8,27.2,85.8,25.3,27.6,4.5,26.5,16.9,2.7,,68.6,,,,126.6,7.7,,,,2000,3
2000-04-01,87.4,20.0,311.6,5.3,27.5,85.6,25.6,28.2,4.0,17.6,8.6,2.7,,38.2,,,,103.1,6.2,,,,2000,4
2000-05-01,36.7,10.0,96.8,6.8,28.6,82.4,26.2,28.4,6.2,22.8,9.4,2.6,,68.6,,,,136.4,5.9,,,,2000,5
2000-06-01,41.7,16.0,157.5,4.6,27.6,84.3,25.5,27.8,4.0,15.0,10.4,2.8,,43.3,,,,127.4,6.5,,,,2000,6
2000-07-01,34.6,12.0,116.1,6.5,28.1,82.6,25.7,27.6,4.3,21.6,10.3,3.1,,31.5,,,,122.6,7.0,,,,2000,7
2000-08-01,28.1,18.0,113.5,5.1,27.5,83.8,25.4,27.4,4.4,24.7,11.1,2.7,,29.5,,,,103.7,10.2,,,,2000,8
2000-09-01,25.7,12.0,81.1,6.2,28.0,82.2,25.6,28.0,9.0,31.1,6.3,3.5,,36.1,,,,100.1,94.8,,,,2000,9
2000-10-01,38.3,14.0,120.9,4.0,27.8,82.1,25.3,28.0,11.6,36.3,16.6,4.1,,28.6,,,,75.9,8.9,,,,2000,10
2000-11-01,72.0,21.0,385.7,3.7,27.3,87.1,25.6,28.0,7.1,40.6,11.3,5.5,,51.1,,,,102.2,5.4,,,,2000,11
2000-12-01,45.8,18.0,236.0,4.2,27.0,87.6,25.3,28.2,8.5,36.4,9.2,2.5,,50.1,,,,133.7,8.6,,,,2000,12
2001-01-01,125.4,21.0,425.8,4.4,26.5,87.4,24.9,27.5,6.4,21.8,9.2,2.7,,22.2,71.5,62.8,,95.4,11.3,,,,2001,1
2001-02-01,28.2,11.0,86.6,4.8,27.0,83.6,24.8,27.1,5.6,19.3,16.0,3.5,,40.4,58.5,58.0,,79.9,6.6,,,,2001,2
2001-03-01,41.1,20.0,297.3,5.4,27.5,84.5,25.4,28.0,6.5,28.3,12.8,4.7,,52.2,76.1,76.9,,139.1,6.7,,,,2001,3
2001-04-01,68.9,18.0,203.3,5.3,27.7,86.0,25.9,28.2,4.9,21.0,9.6,2.9,,36.7,75.5,69.7,,104.9,6.1,,,,2001,4
2001-05-01,56.1,12.0,164.9,6.0,28.5,85.0,26.5,28.4,6.9,27.2,9.9,3.9,,51.8,82.7,68.5,,122.7,5.5,,,,2001,5
2001-06-01,49.6,11.0,137.1,4.9,28.2,82.5,25.8,28.1,4.5,18.9,7.5,3.3,,36.4,81.5,75.8,,145.5,5.6,,,,2001,6
2001-07-01,44.8,9.0,111.3,8.1,28.4,80.8,25.8,27.8,4.7,19.2,8.6,7.2,,38.9,91.5,81.7,,122.1,6.7,,,,2001,7
2001-08-01,36.6,14.0,158.3,4.9,28.0,83.7,25.8,28.6,6.9,24.6,14.6,3.4,,49.9,83.4,91.2,,115.9,6.7,,,,2001,8
2001-09-01,74.3,13.0,162.0,6.2,28.0,82.3,25.6,27.5,4.9,20.1,9.3,3.6,,58.9,82.0,68.8,,127.2,71.0,,,,2001,9
2001-10-01,77.2,20.0,252.2,4.4,27.6,83.7,25.4,27.5,5.0,20.9,12.3,3.1,,32.6,55.9,54.8,,87.5,34.5,,,,2001,10
2001-11-01,102.6,15.0,175.3,3.7,27.2,84.9,25.2,27.5,8.0,28.3,18.7,4.7,,45.9,79.9,55.1,,125.6,37.7,,,,2001,11
2001-12-01,211.1,20.0,609.0,4.5,26.7,86.8,24.9,27.4,6.0,18.3,9.3,3.6,,54.6,91.6,75.8,,162.7,47.3,,,,2001,12
2002-01-01,83.8,11.0,221.2,6.9,27.0,83.6,24.8,26.7,7.2,17.3,9.5,4.1,,20.0,64.4,59.7,,76.7,26.1,,,,2002,1
2002-02-01,41.7,2.0,50.8,7.4,27.3,80.9,24.7,27.1,6.2,20.0,5.3,3.1,,22.5,66.6,59.0,,96.5,30.1,,,,2002,2
2002-03-01,26.4,8.0,55.6,7.6,28.2,80.8,25.5,28.2,5.7,25.9,6.6,3.1,,50.3,91.0,80.9,,145.2,27.5,,,,2002,3
2002-04-01,39.4,13.0,116.5,6.6,28.6,82.3,26.1,28.2,6.3,24.7,5.5,3.3,,28.5,71.9,61.8,,81.8,17.0,,,,2002,4
2002-05-01,75.9,13.0,236.6,6.2,28.9,82.3,26.4,28.9,8.2,41.2,10.6,3.4,,56.5,88.7,70.3,,117.1,17.9,,,,2002,5
2002-06-01,45.8,12.0,83.1,6.3,28.7,82.1,26.2,28.0,3.2,19.9,11.1,2.3,,67.4,83.6,70.2,,123.6,21.8,,,,2002,6
2002-07-01,69.5,11.0,233.7,6.8,28.4,82.7,26.1,28.1,5.6,23.0,13.3,4.2,,35.4,80.6,81.6,,106.3,16.8,,,,2002,7
2002-08-01,17.8,14.0,54.2,6.7,28.5,79.2,25.6,28.0,8.1,25.2,27.5,4.4,,41.2,91.3,92.0,,108.7,20.4,,,,2002,8
